TEXTO,CARRERA,LABEL
disfruto investigar protocolo comunicación sistema radiofrecuencia aplicar conocimiento teórico práctico diseñar infraestructura comunicación avanzado,TELECOMUNICACIONES,16
interesado estudiar tradición antiguo filosofía comparativo ampliar visión mundo,FILOSOFÍA,13
investigo solución encriptación proteger transmisión dato red inalámbrica,TELECOMUNICACIONES,16
preocupar empresa mejorar clima trabajo,RELACIONES INDUSTRIALES,12
gustar diseñar estructura seguro,CIVIL,9
interesado evaluación riesgo planificación fiscal aprender identificar ineficiencia proponer mejora gestión financiero,CONTADURÍA,4
decisión económico responsable,ECONOMÍA,5
desarrollo talento humano interesar,RELACIONES INDUSTRIALES,12
fascina explorar razón creencia,FILOSOFÍA,13
interesar trabajo pastoral comunitario,TEOLOGÍA,8
gustar resolver conflicto mejorar condición trabajo interesar bienestar laboral desarrollo humano,RELACIONES INDUSTRIALES,12
fascinado semiótica análisis discurso,LETRAS,10
disfruto debatir ética moral amigo,FILOSOFÍA,13
interesar negociación colectivo derecho laboral,RELACIONES INDUSTRIALES,12
fascinar lógica formal filosofía lenguaje,FILOSOFÍA,13
entusiasta informática dedicado crear solución software utilizar lenguaje moderno frameworks ágil técnica inteligencia artificial resolver problema real,INFORMÁTICA,15
encantar planificar gestionar proyecto,INDUSTRIAL,0
teología gente vida completo,TEOLOGÍA,8
gustar número análisis financiero gustar trabajar consultoría financiero,CONTADURÍA,4
participo proyecto evaluar innovación tecnológico impulsar productividad económico,ECONOMÍA,5
interesar comunicación político discurso influir sociedad actual,COMUNICACIÓN SOCIAL,3
investigación metodología gestión estratégico fortalecer toma decisión entorno corporativo,ADMINISTRACIÓN,7
gustar dibujar crear modelo 3d,ARQUITECTURA,6
cuidadoso finanza,CONTADURÍA,4
utilizar metodologíos ágil instrumento gestión garantizar eficiencia calidad,INDUSTRIAL,0
escribir periodismo investigación periódico escuela querer periodista,COMUNICACIÓN SOCIAL,3
estudiante administración investigo tendencia global estrategia transformación digital permitir empresa adaptar él entorno competitivo,ADMINISTRACIÓN,7
intrigar funcionar economía participo simulación trading interesar economía conductual experimental querer investigar mercado desarrollo económico,ECONOMÍA,5
querer mejorar salud mental,PSICOLOGÍA,2
interesar investigar cultura comunidad diverso,SOCIOLOGÍA,1
preocupar empresa mejorar entorno trabajo,RELACIONES INDUSTRIALES,12
proyecto proteger información entorno digital,INFORMÁTICA,15
querer desarrollar política público basado evidencia evaluación impacto,SOCIOLOGÍA,1
gustar análisis dato inteligencia negocio trabajar power bi tableau,ADMINISTRACIÓN,7
gustar entender funcionar economía global,ECONOMÍA,5
querer promover educación tecnológico organizar taller robótica educativo,EDUCACIÓN,14
inteligencia artificial utilizar automatización tarea contable,CONTADURÍA,4
apasionar investigar relación política económico bienestar social país,ECONOMÍA,5
gustar luchar justicia igualdad,DERECHO,11
transformación digital inteligencia artificial resolver problema real interesar,INFORMÁTICA,15
gustar analizar mejorar proceso administrativo,ADMINISTRACIÓN,7
apasionar diseño carretera sistema transporte,CIVIL,9
participación proyecto educativo inclusivo adaptar recurso diverso necesidad estudiante,EDUCACIÓN,14
disfruto conversación profundo vida universo,FILOSOFÍA,13
diálogo interreligioso investigar espiritualidad promover paz justicia social,TEOLOGÍA,8
gustar derecho ambiental recurso natural,DERECHO,11
encantar reflexionar pregunta profundo sentido vida,FILOSOFÍA,13
disfruto enseñar tecnología,INFORMÁTICA,15
disfruto diseñar layout planta industrial optimizar flujo trabajo gustar autocad software simulación,INDUSTRIAL,0
desarrollo simulación optimizar transmisión dato entorno alto interferencia,TELECOMUNICACIONES,16
participación debate modernización sistema judicial transparencia administración justicia,DERECHO,11
querer desarrollar programa prevención salud mental intervención comunitario,PSICOLOGÍA,2
literatura transporta mundo fascinante,LETRAS,10
interesado seguridad red hacking ético,TELECOMUNICACIONES,16
disfruto visitar lugar arquitectura interesante,ARQUITECTURA,6
querer mejorar ambiente trabajo,RELACIONES INDUSTRIALES,12
evaluar impacto herramienta analítica toma decisión estratégico,ADMINISTRACIÓN,7
mejorar mundo comprender sociedad,SOCIOLOGÍA,1
explorar método construcción sostenible afectar ambiente,CIVIL,9
querer estructura seguro sostenible,CIVIL,9
toma decisión humano dualidad razón emoción,FILOSOFÍA,13
encantar escritor compartir historia mundo,LETRAS,10
querer investigar mejorar salud mental comunidad,PSICOLOGÍA,2
querer entender filosofía oriental occidental complementar,FILOSOFÍA,13
fascinar estudiar funcionar sociedad,SOCIOLOGÍA,1
reflexiono papel lenguaje construcción realidad interpretación experiencia,FILOSOFÍA,13
gustar analizar literatura escribir,LETRAS,10
informática revolucionar múltiple campo,INFORMÁTICA,15
querer convertir yo maestra,EDUCACIÓN,14
desarrollo programa formación fortalecer habilidad competencia empleado,RELACIONES INDUSTRIALES,12
apasionar utilizar material sostenible disminuir impacto ambiental diseño edificio,ARQUITECTURA,6
telecomunicación futuro sociedad mundial,TELECOMUNICACIONES,16
querer mejorar gestión operación comercial,INDUSTRIAL,0
interesar aplicar bim modelar 3d crear estructura innovadora eficiente,ARQUITECTURA,6
tecnología educativo enseñar idioma,LETRAS,10
fascinar electrónico comunicación circuito armo hobby interesar transmitir dato señal querer diseñar sistema avanzado telecomunicación,TELECOMUNICACIONES,16
telecomunicación futuro sociedad mundial,TELECOMUNICACIONES,16
querer apoyar necesidad,EDUCACIÓN,14
querer ayudar reducir pobreza desigualdad,ECONOMÍA,5
estudiar influencia espiritualidad salud emocional equilibrio personal,TEOLOGÍA,8
política fiscal monetaria efecto crecimiento económico mundial,ECONOMÍA,5
encantar cuestionar porqué cosa,FILOSOFÍA,13
apasionar estudiar psicología comportamiento humano combinar teoría cognitiva emocional social entender mejorar bienestar individual,PSICOLOGÍA,2
gustar ingeniería civil,CIVIL,9
diálogo interreligioso promover paz tolerancia inclusión social,TEOLOGÍA,8
querer promover equidad económico,ECONOMÍA,5
mejora continuo proceso industrial enfocado,INDUSTRIAL,0
estudiante comunicación estudiar impacto medio comunicación opinión público construcción identidad cultural,COMUNICACIÓN SOCIAL,3
interesado comunicación organizacional impacto interno,COMUNICACIÓN SOCIAL,3
gustar estudiar caso legal aprender,DERECHO,11
querer hablar,COMUNICACIÓN SOCIAL,3
impacto telecomunicación desarrollo social interesar,TELECOMUNICACIONES,16
investigar restauración edificación histórico mantener valor cultural,ARQUITECTURA,6
exploro intersección fe ciencia buscar comprender integrar pensamiento actual,TEOLOGÍA,8
investigar modelo integrar equidad sostenibilidad,ECONOMÍA,5
apasionar estudio derecho comparado evalúir sistema jurídico internacional desarrollar solución jurídico inclusiva equitativo,DERECHO,11
interesar teología pastoral acompañamientir counseling espiritual,TEOLOGÍA,8
querer estudiar papel religión solución conflicto,TEOLOGÍA,8
disfruto escuchar persona ofrecer apoyo,PSICOLOGÍA,2
sentir fuerte inclinación defender derecho,DERECHO,11
interesar diseño bioclimático eficiencia energético software simulación ambiental,ARQUITECTURA,6
papel medio formación opinión público disfrutar analizar,COMUNICACIÓN SOCIAL,3
trabajo proyecto mediático promover transparencia ética,COMUNICACIÓN SOCIAL,3
apasionar desarrollar campaña combinir storytelling análisis dato influir positivamente sociedad,COMUNICACIÓN SOCIAL,3
participo diálogo interreligioso promover paz tolerancia inclusión social,TEOLOGÍA,8
querer optimizar proceso negocio mejora continuo utilizar bpm sigma,ADMINISTRACIÓN,7
estudiante gestión investigo tendencia global estrategia transformación digital permitir empresa adaptar él entorno competitivo,ADMINISTRACIÓN,7
interesar arquitectura sostenible respetuoso ambiente,ARQUITECTURA,6
interesar mundo negocio finanza,ADMINISTRACIÓN,7
disfruto estudiar estilo arquitectónico,ARQUITECTURA,6
analizar protocolo comunicación tecnología red mejorar transmisión dato entorno urbano,TELECOMUNICACIONES,16
interesado red 5 g internet cosa cambiar intercambio información global,TELECOMUNICACIONES,16
elaboración propuesta espacio trabajo fomentar colaboración creatividad,ARQUITECTURA,6
programa formación maestro impulsar innovación metodología educativo,EDUCACIÓN,14
ley fundamental mantener orden justicia,DERECHO,11
motivar utilizar técnica estadístico mejorar eficiencia planta,INDUSTRIAL,0
gustar compartir enseñanza promover paz amor,TEOLOGÍA,8
encantar estudiar lenguaje reflejar cultura,LETRAS,10
investigar metodología administración estratégico fortalecer toma decisión entorno corporativo,ADMINISTRACIÓN,7
trabajo norma contabilidad,CONTADURÍA,4
interesado relación diseño funcionalidad edificio,ARQUITECTURA,6
interesar tecnología mejorar vida,INFORMÁTICA,15
gustar taller crecimiento personal,PSICOLOGÍA,2
investigo técnica mindfulness promover bienestar emocional,PSICOLOGÍA,2
contabilidad preciso importante,CONTADURÍA,4
interesar contabilidad gestión indicador evaluar desempeño económico empresa,CONTADURÍA,4
responsable finanza presupuesto,CONTADURÍA,4
querer desarrollar programa alfabetización digital trabajar habilidad digital,EDUCACIÓN,14
estudiar relación creencia rito valor ético comprender papel religión sociedad actual,TEOLOGÍA,8
querer aprender sistema legal,DERECHO,11
apasionar investigación cuestión género diversidad,SOCIOLOGÍA,1
interesado filosofía mente conciencia participo grupo discusión,FILOSOFÍA,13
estudiar interacción desigualdad comunidad analizar factor histórico económico cultural moldear sociedad,SOCIOLOGÍA,1
querer encontrar solución práctico problema cotidiano,INDUSTRIAL,0
investigar mejorar comunicación colaboración equipo trabajo programa capacitación política interno bienestar,RELACIONES INDUSTRIALES,12
interesar intersección derecho tecnolog analizar digitalización transformar normativa legal,DERECHO,11
disfruto desarrollar programa bienestar promuevo salud mental laboral interesar trabajo remoto flexible querer crear lugar trabajo saludable,RELACIONES INDUSTRIALES,12
disfrutar analizar modelo negocio innovador estudiar caso startups exitosa interesar transformación digital empresarial querer liderar innovación empresarial,ADMINISTRACIÓN,7
interesar gestión cadena suministro logística herramienta sap análisis predictivo,INDUSTRIAL,0
genial empleado valorar compañía,RELACIONES INDUSTRIALES,12
trabajo negociación colectivo,DERECHO,11
investigar estrategia comunicación digital conectar comunidad,COMUNICACIÓN SOCIAL,3
norma internacional facilitar comercio justo cooperación mundial,DERECHO,11
exploro diseño paramétrico generar forma arquitectónico único original,ARQUITECTURA,6
programa formación maestro impulsar innovación metodología educativo,EDUCACIÓN,14
estudiar influencia espiritualidad bienestar personal comunitario reflexionar texto sagrado teoría moderno,TEOLOGÍA,8
observar espacio pensar mejorarlo gustar dibujar modelo interesar restauración patrimonio cultural querer diseñar espacio público inclusivo,ARQUITECTURA,6
futuro psicólogo investigo proceso aprendizaje memorio percepción influir conducta desarrollar método innovador tratamiento trastorno,PSICOLOGÍA,2
relación lenguaje realidad explorar teoría conocimiento,FILOSOFÍA,13
querer mejorar ambiente trabajo programa formación continuo,RELACIONES INDUSTRIALES,12
querer contribuir formulación política económico promover competitividad bienestar social,ECONOMÍA,5
gustar mejorar comunicación interno empresa,RELACIONES INDUSTRIALES,12
utilizar método mixto estudiar dinámica social impacto tecnología cohesión comunitario,SOCIOLOGÍA,1
apasionar economía digital criptomoneda fintech interesar economía colaborativo circular querer innovar modelo económico,ECONOMÍA,5
querer entender ayudar niño dificultad,PSICOLOGÍA,2
fan teología sistemático,TEOLOGÍA,8
gustar analizar papel medio comunicación formación opinión público,COMUNICACIÓN SOCIAL,3
gustar analizar estrategia negocio exitoso,ADMINISTRACIÓN,7
fan marketing digital red social,COMUNICACIÓN SOCIAL,3
interesar entender comunicar,TELECOMUNICACIONES,16
desarrollo contenido audiovisual buscar informar empoderar comunidad marginado,COMUNICACIÓN SOCIAL,3
i investigación metodología ágil mejorar eficiencia equipo desarrollo software,INFORMÁTICA,15
gustar explorar estilo arquitectónico,ARQUITECTURA,6
comprender relación neurobiología comportamiento importante entender trastorno mental,PSICOLOGÍA,2
digital desafiar regulación tradicional investigación intersección derecho tecnología,DERECHO,11
contabilidad fundamental éxito empresarial,CONTADURÍA,4
interesar optimizar proceso interacción empleador empleadosimplementar estrategia mediación capacitación fortalecer ambiente laboral,RELACIONES INDUSTRIALES,12
estudiar teoría conocimiento,FILOSOFÍA,13
interesado hackeo ético seguridad red,TELECOMUNICACIONES,16
querer desarrollar teología digital comunicación religioso medio digital,TEOLOGÍA,8
interesado impacto comunicación organizacional,COMUNICACIÓN SOCIAL,3
investigar migración diversidad cultural transformar dinámica social ciudad,SOCIOLOGÍA,1
fascinar gestión talento peoplir analytics hr analytics kpi,RELACIONES INDUSTRIALES,12
apasionar diseño computacional fabricación digital trabajo impresión 3d,ARQUITECTURA,6
querer restaurar edificio histórico preservar tiempo valor cultural estético,ARQUITECTURA,6
querer trabajar comunidad mejorar salud mental,PSICOLOGÍA,2
apasionado ciberseguridad hacking ético usar kali linux pentesting tools,INFORMÁTICA,15
participé proyecto planificación urbano análisis impacto ambiental,CIVIL,9
investigar estrategia fomentar entorno trabajo colaborativo equitativo,RELACIONES INDUSTRIALES,12
transformación digital apasionar,RELACIONES INDUSTRIALES,12
gustar cine producción audiovisual,COMUNICACIÓN SOCIAL,3
disfrutar organizar presupuesto planificar gasto,CONTADURÍA,4
interesar decisión económico afectar persona común,ECONOMÍA,5
deber estudiar él comercialización administración digital mejorar competitividad empresa,ADMINISTRACIÓN,7
gustar trabajar proyecto ágil,ADMINISTRACIÓN,7
querer participar creación política económico promover competitividad bienestar social,ECONOMÍA,5
encantar crear solución tecnológico problema cotidiano,INFORMÁTICA,15
querer ayudar negocio,CONTADURÍA,4
interesar estudio derecho justicia examinar norma defender derecho fundamental,DERECHO,11
gustar aplicar filosofía problema actual,FILOSOFÍA,13
gustar crear red servidor participo comunidad networking interesar ciberseguridad red privado querer diseñar infraestructura telecomunicación seguro,TELECOMUNICACIONES,16
interesar analizar optimizar proceso contable tecnología emergente mejorar gestión financiero,CONTADURÍA,4
telecomunicación impulsar innovación global,TELECOMUNICACIONES,16
investigo método innovador fomentar autoaprendizaje,EDUCACIÓN,14
interesado traducción edición querer trabajar mundo editorial,LETRAS,10
querer especializar yo compliance financiero asegurar correcto aplicación normativa contable entorno corporativo,CONTADURÍA,4
estudio aprender transformar proceso industrial tecnología,INDUSTRIAL,0
gustar planificar entrenamiento oportunidad crecimiento,RELACIONES INDUSTRIALES,12
dibujar crear diseño espacio edificio,ARQUITECTURA,6
gustar hablar ética moral mundo moderno,FILOSOFÍA,13
gustar planificar estrategia alcanzar objetivo empresarial,ADMINISTRACIÓN,7
querer ayudar pensar críticamente mundo,FILOSOFÍA,13
promoción participación activo bienestar organización objeto estudio dinámico recurso humano,RELACIONES INDUSTRIALES,12
participo taller perfeccionar estilo escritura,LETRAS,10
telecomunicación impulsar innovación global,TELECOMUNICACIONES,16
estudiar relación entender estructura social,SOCIOLOGÍA,1
interesar economía ambiental cambio climático,ECONOMÍA,5
trabajo indicador social sociología ambiental,SOCIOLOGÍA,1
querer mejorar proceso negocio,ADMINISTRACIÓN,7
interesar economía internacional relación comercial,ECONOMÍA,5
interesado macroeconomía desarrollo querer trabajar política económico,ECONOMÍA,5
interesar arquitectura paisajístico,ARQUITECTURA,6
apasionar economía digital mercado onlinar trabajo economía plataforma,ECONOMÍA,5
disfruto investigar movimiento social participo activismo digital interesar justicia social ambiental querer promover cambio social positivo,SOCIOLOGÍA,1
querer ayudar generación,EDUCACIÓN,14
explorar plataforma digital transformar difusión mensaje movilizar comunidad,COMUNICACIÓN SOCIAL,3
principio macro microeconomía integrar dato real tendencia mundial formular solución eficiente sostenible,ECONOMÍA,5
cuestionar pensar mejor persona,FILOSOFÍA,13
interesado derecho comparado entender sistema jurídico abordar problema similar,DERECHO,11
querer abogado diferencia comunidad,DERECHO,11
gustar especializar yo contabilidad internacional,CONTADURÍA,4
aprendizaje automático procesamiento masivo dato utilizar él extraer información pertinente volumen dato,INFORMÁTICA,15
apasionar marco legal aplicación leo jurisprudencia caso famoso interesar derecho ambiental tecnológico querer innovar campo legal,DERECHO,11
apasionar innovación proceso productivo,INDUSTRIAL,0
interesar bienestar laboral desarrollo humano participo grupo liderazgo gustar mediar resolver conflicto querer mejorar condición laboral,RELACIONES INDUSTRIALES,12
desarrollo análisis crítico aplicación derecho contexto desigualdad social,DERECHO,11
interesar criminología entender causa delito,DERECHO,11
desarrollo proyecto planificación urbano estéticamente agradable sostenible,CIVIL,9
apasionar diálogo religión cultura,TEOLOGÍA,8
gustar informar noticia,COMUNICACIÓN SOCIAL,3
importante entender mundo filosofía,FILOSOFÍA,13
interesar estudiar texto sagrado valor ético comprender significado fe mundo moderno,TEOLOGÍA,8
investigo método pedagógico innovador fomentar aprendizaje autónomo participar proyecto educación inclusivo digital,EDUCACIÓN,14
fan marketing digital gestión red social,COMUNICACIÓN SOCIAL,3
querer investigar técnica terapéutico innovadora,PSICOLOGÍA,2
apasionar material sostenible reducir impacto ambiental diseño edificio,ARQUITECTURA,6
querer ayudar construir mundo sostenible,CIVIL,9
estudio desarrollar habilidad logística planificación producción análisis dato motivar transformar proceso industrial tecnología,INDUSTRIAL,0
disfrutar desarrollo web fullstack trabajo react nodejs mongodb,INFORMÁTICA,15
interesado mundo negocio finanza,ADMINISTRACIÓN,7
gustar obra planear materializar,CIVIL,9
interesar dinámica participación ciudadano entorno urbano,SOCIOLOGÍA,1
querer cambiar cosa,COMUNICACIÓN SOCIAL,3
gustar estudiar tiempo histórico estilo literario,LETRAS,10
querer educar niño necesidad especial,EDUCACIÓN,14
sentir fuerte inclinación defender justicia,DERECHO,11
análisis eficiencia energético proceso industrial reducir coste emisión contaminante,INDUSTRIAL,0
apasionar estrategia leo análisis mercado startups tecnología interesar transformación digital comercio electrónico querer liderar proyecto innovación,ADMINISTRACIÓN,7
desarrollo ensayo historia reflejar complejidad experiencia humano palabra escrito,LETRAS,10
impacto comunicación digital sociedad interesar,COMUNICACIÓN SOCIAL,3
importante empleado estar satisfecho,RELACIONES INDUSTRIALES,12
observar espacio pensar mejorarlo gustar dibujar maqueta interesar restauración patrimonio cultural querer diseñar espacio público inclusivo,ARQUITECTURA,6
gustar investigar literatura comparativo estudio cultural,LETRAS,10
pasar tiempo crear pequeño aplicación resolver necesidad diario,INFORMÁTICA,15
apasionar marketing digital gestión red social analytics seo,COMUNICACIÓN SOCIAL,3
interesado consultoría asesoramiento negocio,ADMINISTRACIÓN,7
desarrollo intervención terapéutico arteterapio musicoterapia recuperación emocional,PSICOLOGÍA,2
gestión personal,RELACIONES INDUSTRIALES,12
interesado educación bilingüe multicultural,EDUCACIÓN,14
estudio diverso rama derecho penal civil constitucional desarrollar habilidad analítica interpretación aplicación ley,DERECHO,11
enfocado convergencia red fijo móvil mejorar conexión entorno urbano,TELECOMUNICACIONES,16
disfrutar analizar mercado emergente seguir tendencia tecnológico interesar impacto ia economía querer estudiar economía futuro,ECONOMÍA,5
querer diseñar estructura innovadora seguro utilizar herramienta digital,CIVIL,9
gustar aplicar conocimiento teórico práctico diseñar infraestructura avanzado comunicación,TELECOMUNICACIONES,16
interesar derecho constitucional derechos humanos,DERECHO,11
administración ayudar crecer empresa,ADMINISTRACIÓN,7
interesar urbanismo planificación ciudad preocupar ambiente sostenibilidad disfruto diseñar sketchup querer crear infraestructura ecoamigabl,CIVIL,9
querer participar avance tecnología comunicación,TELECOMUNICACIONES,16
gustar trabajar lograr meta común,INDUSTRIAL,0
apasionar ciberseguridad desarrollo sistema seguro prueba penetración análisis vulnerabilidad,INFORMÁTICA,15
interesar derecho penal criminología,DERECHO,11
curiosidad funcionar cadena producción,INDUSTRIAL,0
querer diseñar estructura seguro sostenible,CIVIL,9
apasionar analizar caso éxito empresarial sacar lección transformación digital,ADMINISTRACIÓN,7
interesar desarrollar material educativo innovador,EDUCACIÓN,14
sentir medio fuerza,COMUNICACIÓN SOCIAL,3
gustar cálculo estructural modelo 3d edificio hobby interesar geotecnia mecánica suelo querer especializar túnel obra subterráneo,CIVIL,9
estudiar principio macro microeconomía integrar dato real tendencia global formular solución eficiente sostenible,ECONOMÍA,5
contabilidad fundamental éxito empresa,CONTADURÍA,4
investigo técnica periodismo investigación descubrir fenómeno social,COMUNICACIÓN SOCIAL,3
promuevo material ecológico construcción lograr edificio respetuoso ambiente,CIVIL,9
apasionar filosofía político justicia social estudio teoría crítico,FILOSOFÍA,13
explorar intersección red social opinión público,COMUNICACIÓN SOCIAL,3
gustar analizar dato económico tendencia seguir mercado financiero interesar macroeconomía desarrollo querer trabajar política económico,ECONOMÍA,5
gustar combinar arte función creación,ARQUITECTURA,6
participo programa capacitación docente promover innovación método enseñanza,EDUCACIÓN,14
método prevenir fallo sistema producción,INDUSTRIAL,0
sentir llamado comprender compartir enseñanza espiritual,TEOLOGÍA,8
gustar maximizar tiempo actividad,INDUSTRIAL,0
interesar cuestión género diversidad,SOCIOLOGÍA,1
gustar aprender tecnología inalámbrica,TELECOMUNICACIONES,16
disfruto estudiar lingüístico computacional desarrollo herramienta procesamiento texto interesar traducción automático ia querer combinar tecnología literatura,LETRAS,10
apasionar investigar papel innovación tecnológico transformación sector productivo,ECONOMÍA,5
disfruto planificación fiscal internacional,CONTADURÍA,4
